Year,AVERAGE of BOD_Avg,AVERAGE of DO_Avg,,,,
"RIVER IMPHAL NEAR LEIKINTHABI ROAD, AWANG SEKMAI",30.75,,,,,
"GODAVARI AT POLAVARAM, A.P.",30.71666667,,,,,
RIVER TUNGABHADRA AT U/S OF HARIHAR POLYFIBERS,30.575,,,,,
"HASDEO AT U/S OF CHAMPA,CHHATISSGARH",30.525,,,,,
RIVER YAMUNA D/S RANBAXY,30.5,,,,,
KOSHI RIVER AT BEERPUR,30.4375,,,,,
"RIVER BETWA NEAR WATER SUPPLY INTAKE WELL , VIDISHA( M.P)",30.15,,,,,
"SUSWA AT MOTHRAWALA, DEHRADUN",30.05,,,,,
RIVER NARMADA NEAR SHAHGANJ GUEST HOUSE DISTRICT SEHORE,30,,,,,
LINGIRA U/S OF ANGUL,29.55,,,,,
"RIVER GODAVARI AT JAYAKWADI DAM, PAITHAN,AURANAGABAD",29.5,,,,,
"CHAMBAL AT GANDHI SAGAR DAM, RAMPURA",29.5,,,,,
BETWA D/S BEENA,29.5,,,,,
"SATLUJ AT D/S BHAKHRA, H.P.",29.35,,,,,
RIVER SWAN U/S UNA TOWN GHALLUWAL BRIDGE,29.35,,,,,
RIVER SABARMATI AT DHAROI DAM,29.35,,,,,
RIVER GIRI AT U/S CCI MINES AT VILLAGE NADI,29.225,,,,,
RUSHIKULYA AT ASKA,29,,,,,
KABBANI AT SARAGUR VILL. D/S,29,,,,,
"CAUVERY AT BANNUR BRIDGE, KARNATAKA",28.95,,,,,
"BURIDIHING NEAR DULIAJAN AT D/S, TINSUKIA, ASSAM",28.9,,,,,
"TUNGHA AT D/S OF SHIMOGA TOWN, KARNATAKA",28.66666667,,,,,
POWER CHANNELU/S,28.5,,,,,
"HASDEO RIVER 100 METER D/S A/C OF DENGUR NALLAH NERA C.S.E.B. EAST GUEST HOUSE, KORBA",28.5,,,,,
CAUVERY AT SATHYAGALAM BDG,28.5,,,,,
"RIVER KELWARA RESERVIOR, N/V KELWARA, TEHSIL- KUMBHALGARH DIST- RAJSAMAND, (UPSTREAM OF KHARI RIVER)",28.43333333,,,,,
"RIVER TLAWNG MID STREAM, REIEK KAI, AIZAWL, U/S OF TLAWNG BRIDGE",28,,,,,
SINDH AT SONAMARG U/S,27.675,,,,,
"KOEL AT MANOHARPUR AFTER MEETING KOINA RIVER D/S,",27.6,,,,,
"BRAHAMPUTRA AT KHERGHAT (AFTER CONFL. WITH DIBANG and DIHANG),ASSAM",27.55,,,,,
"RIVER D/S OF TARAPITH ON DWARKA, SATIGHAT",27.15,,,,,
"RIVER CAUVERY D/S BHARACHUKI FALLS, SATHEGALA, KOLLEGALA",27,,,,,
"PENNAR AFTER CONF. WITH PAPAGNI,PUSPAGINI",27,,,,,
MALPRABHA AT BADAMI BRIDGE,27,,,,,
RIVER IMPHAL AT SAMUROU,26.8,,,,,
BURHIDIHING RIVER AT DULIAJAN (INTAKE POINT OF OIL INDIA LTD.),26.75,,,,,
CAUVERY AT WATER SUPPLY INTAKE POINT AT KOLLEGALA DASANAPURA,26.725,,,,,
"KRISHNA AT D/S OF NARAYANPURA DAM,KARNATAKA",26.65,,,,,
"RIVER CAUVERY D/S AT KANIVE RAMALINGESWARA TEMPLE BRIDGE, KUSHALANAGAR",26.6,,,,,
"BRAHMPUTRA NR WATER INTAKE POINT AT KACHARIGHAT, PANBAZAR, GUWAHATI",26.5,,,,,
PABBAR U/S ROHRU,26,,,,,
"GODAVARI AT RAMAGUNDAM D/S, NR FCI INTAKE WELL, KARIMNAGAR",26,,,,,
PILKHAR AFTER BILASPUR RAMPUR,25.8,,,,,
RAVI AT D/S OF CHAMBA TOWN,25.43571429,,,,,
"SATLUJ AT U/S SLAPPER, H.P.",25.4,,,,,
"GOMAI RIVER, D/S. OF SHAHADA, DHULE.",25.4,,,,,
"TUNGABHADRA AT D/S OF HPF, KARNATAKA",25.26666667,,,,,
RIVER CAUVERY D/S OF KUSHALANAGAR TOWN,25.1,,,,,
"ANAS AT DAHOD, (KUSHALGARH), DIST. PANCHMAHAL, GUJ",24.8,,,,,
"RIVER D/S OF SILABATI AT GHATAL, MEDINIPORE(W)",24.775,,,,,
