Year,AVERAGE of BOD_Avg,AVERAGE of DO_Avg,,,,
KRISHNA AT WADAPALLY AFTER CONFL. WITH R. MUSI,2.3,,,,,
GODAVARI AT PANCHAVATI RAMKUND,2.3,,,,,
GODAVARI AT MANCHERIAL,2.3,,,,,
"DARNA RIVER AT MES SITE PUMPING STATION, BHAGUR, NASHIK.",2.3,,,,,
"BURHI GANDAK AT LAL BAGLA GHAT, MOTIHARI DHAKA ROAD, EAST CHAMPARAN",2.3,,,,,
"BURHI GANDAK AT AKHARAGHAT, MUZAFFARPUR",2.3,,,,,
"BRAHMANI AT RENGALI, ORISSA",2.3,,,,,
"BHADRA AT D/S OF KIOCL ROAD BRIDGE, NEAR HOLEHUNNUR,KARNATAKA",2.3,,,,,
NARMADA AT SETHANIGHAT,2.29,,,,,
"YAMUNA AT KESIGHAT, VRINDAVAN",2.2875,,,,,
"GANGA AT KADAGHAT, ALLAHABAD",2.2875,,,,,
"RIVER SONE AT WATER INTAKE POINT BHARTIYA RAIL BIJALI CO. LTD (BRBCL) NAVINAGAR, AURANGABAD",2.283333333,,,,,
"RIVER JHELUM AT SOPORE, CONFLUENCE POINT OF WULAR LAKE",2.283333333,,,,,
MANGALA AT PURI U/s MALATIPATPUR,2.283333333,,,,,
KABATABANDHA (BEFORE IMPACT OF INDUSTRIAL ACTIVITY IN KALINGANAGAR AREA),2.283333333,,,,,
"DENWA NEAR SARNI, ROAD BRIDGE",2.283333333,,,,,
RIVER GOMTI AT MOHMEAK D/S,2.28,,,,,
"SONE AT JARWAHI NEAR ROAD BRIDGE, SHAHDOL",2.275,,,,,
RIVER SUTLEJ U/S CONFLUENCES OF RIVER TIDONG,2.275,,,,,
RIVER NARMADA AT DOWN-STREAM OF TEXTILE UNIT VILLAGE. HOLIPURA BUDNI DISTRICT SEHORE (M.P.),2.275,,,,,
RIVER NAMCHIK AT KHARSANG,2.275,,,,,
"RIVER KOSI AT KASHIPUR BAJPUR ROAD BRIDGE,KASHIPUR,US NAGAR",2.275,,,,,
RIVER IRIL AT LILONG,2.275,,,,,
"RIVER GANGA AT UMA NATH MANDIR,BARH",2.275,,,,,
RIVER GANGA AT MANJHIGHAT DIST. CHHAPRA(BIHAR),2.275,,,,,
"RIVER GANGA AT DIGHA, NEAR J P SETU, PATNA U/S",2.275,,,,,
RIVER DIKRONG AT NIRJULI (U/S),2.275,,,,,
"RIVER BRAHMAPUTRA AT DIBRUGARH, ASSAM",2.275,,,,,
RIVER BAIRA SIUL D/S SURGANI,2.275,,,,,
MULA-MUTHA RIVER AT MUNDHAWA BRIDGE.,2.275,,,,,
"MAHI (D/S) CONF WITH R. CHAP (UNDER SAGWARA-SARHI RD. BDG.),RAJASTHAN",2.275,,,,,
"BRAHMANI AT RENGALI, ODISHA",2.275,,,,,
"RIVER NARMADA NEAR PUNASA DAM, PUNASA",2.271428571,,,,,
RIVER SUTLEJ AT PHAGWARA D/S (KANGANIWAL BRIDGE),2.27,,,,,
"RIVER SONE AT CHACHAI, M.P.",2.266666667,,,,,
RIVER SALANDI AT BHADRAK D/S,2.266666667,,,,,
RIVER KATHAJODI AT CUTTACK U/S,2.266666667,,,,,
"RIVER CHURNI D/S OF RANAGHAT TOWN, WEST BENGAL",2.266666667,,,,,
"NEAR NEWTA DAM, JAIPUR, RAJASTHAN",2.266666667,,,,,
BAITARNI AT CHANDBALI U/s,2.266666667,,,,,
SUBARNAREKHA AT GATALSUD DAM,2.258333333,,,,,
"GANGA AT KALA KANKAR, RAEBARELI",2.25625,,,,,
WARDHA AT RAJURA BRIDGE,2.25,,,,,
WARDHA AT CONFLUENCE POINT OF PENGANGA and WARDHA AT JUAD,2.25,,,,,
"WAGHUR RIVER AT SAKEGAON BEFORE CONFLUENCE WITH TAPI RIVER, JALGAON",2.25,,,,,
"URMODI RIVER, NAGTHANE, SATARA",2.25,,,,,
TAPI AT UPHAD VILLAGE,2.25,,,,,
SUBARNAREKHA AT GOPIBALLAVPUR (WEST BENGAL),2.25,,,,,
"SONE AT CHACHAI, M.P.",2.25,,,,,
SHIKARI KHAD BEFORE CONFLUENCE TO RIVER PABBAR NEAR HRTC ROHRU BUS STAND,2.25,,,,,
"SATLUJ AT U/S HEAD WORKS ROPAR, PUNJAB",2.25,,,,,
SATLUJ AT U/S BUDHA NALLAH (UPPER),2.25,,,,,
"RIVER YAMUNA AT HATHNIKUND, YAMUNANAGAR",2.25,,,,,
RIVER WANGJING AT WANGJING,2.25,,,,,
"RIVER WAINGANGA AT U/S OF GAURAV PAPER MILLS, NEAR JACKWELL, VILLAGE. BRAMHPURI, TALUKA. CHANDRAPUR,",2.25,,,,,
RIVER WAIKHRWI AT MOOKHLOT,2.25,,,,,
RIVER TUNGABHADRA AT AIRANI,2.25,,,,,
RIVER THLUMUWI AT THLUMUWI,2.25,,,,,
"RIVER TEIREI BAWNGVA, MAMIT DIST.",2.25,,,,,
RIVER TAWI AT BAGH-E-BAHU LIFTING POINT(1 KM U/S TAWI BRIDGE),2.25,,,,,
RIVER TAWI AT BAGH- E-BAHU LIFTING POINT(1 KM U/S TAWI BRIDGE),2.25,,,,,
"RIVER SINGRA (NEAR BRIDGE ALONG NH- 37) BOKO, KAMRUP",2.25,,,,,
"RIVER SHIMSHA AT D/S OF BRIDGE, HALAGUR",2.25,,,,,
"RIVER PANZARA NEAR PANZARAKAN SSK LTD, VILLAGE- PANZARA,TALUKA- DHULE,",2.25,,,,,
"RIVER PACHIN AT NAHARLAGUN (BELOW BARAPANI BRIDGE), (D/S OF RIVER SENKI)",2.25,,,,,
RIVER NARMADA AT SEMALDA U/S OF BARWANI,2.25,,,,,
"RIVER MYNTANG AT MYNSO, JAYANTIA HILLS",2.25,,,,,
"RIVER MANDA (DUDHAI RIVER) AT JAMPA,",2.25,,,,,
"RIVER MANAS AT NH- 31 CROSSING, BARPETA DISTRICT, ASSAM",2.25,,,,,
"RIVER KRISHNA AT KURUNDWAD NEAR SANTAJI GHORPADE GHAT, VILLAGE.NARSHINGWADI, KURUNDWAD, TALUKA. SHIROL, DISTRICT. KOLHAPUR.",2.25,,,,,
"RIVER KRISHNA AT D/S OF ALAMATTI DAM,",2.25,,,,,
"RIVER KHAROON B/C KHAPRI NAHLA RAIPUR ROAD,CHHATTISGARH",2.25,,,,,
"RIVER INDRAVATI,PANDEMURGA B/C OF GODAVARI RIVER",2.25,,,,,
RIVER HARMU BEFORE METTING TO SWARNREKHA RIVER,2.25,,,,,
"RIVER GODAVARI AT RAJAHMUNDRY D/S, DOWLESWARAM (V), RAJAHMUNDRY (M)",2.25,,,,,
"RIVER GANGA NEAR BISHANPUR KUNDI, HARIDWAR",2.25,,,,,
"RIVER DIKHOW AT NAGINI MORA (INTER-STATE BOUNDARIES, ASSAM-NAGALAND)",2.25,,,,,
RIVER CAUVERY AT NAPOKULU BDG (D/S),2.25,,,,,
"RIVER CAUVERY AT KOMARAPALAYAM, NAMAKAL,",2.25,,,,,
RIVER BUDHABALANGA AT BALASORE D/S,2.25,,,,,
"RIVER BRAHMPUTRA RIVER AT DHENUKHAPAHAR, ASSAM",2.25,,,,,
"RIVER BINDUSARA AT BEED NEAR INTAKE WATER PUMP HOUSE AT DAM, PALIGAON, BEED, BEED",2.25,,,,,
"RIVER BHIMA AT TAKLI, SOUTH SOLAPUR, SOLAPUR",2.25,,,,,
"RIVER BHIMA AFTER CONFLUENCE WITH MULA-MUTHA AT PARGAON NEAR VASANT BANDARA,VILLAGE- PARGAON,TALUKA- DAUND, DISTRICT- PUNE.",2.25,,,,,
POONPUN NEAR KINZER ROAD BRIDGE,2.25,,,,,
"PENGANGA RIVER D/S OF ISAPUR DAM, ISAPUR, PUSAD, YAVATMAL",2.25,,,,,
"NANDOUR RIVER U/S SITARGANJ INDUSTRIAL AREA, Us NAGAR",2.25,,,,,
MUSI U/S HYDERABAD,2.25,,,,,
"MANJRA AT D/S OF LATUR,NR LATUR- NANDED BDG, BHATKHEDA, LATUR.",2.25,,,,,
"MANDA RIVER (DUDHAI RIVER) AT JAMPA,",2.25,,,,,
"KOLONG RIVER AT MARIGAON, ASSAM",2.25,,,,,
KANSARI RIVER AT BANAPUR ROAD NEAR PURUSHOTTAMPUR,2.25,,,,,
"IB AT BRAJRAJNAGAR (INTAKE) D/S, ORISSA",2.25,,,,,
"GODAVARI U/S AT BHADRACHALAM BATHING GHAT, KHAMMAM",2.25,,,,,
GODAVARI RIVER NEAR SOMESHWAR TEMPLE,2.25,,,,,
"GODAVARI AT U/S OF GANGAPUR DAM,NASIK",2.25,,,,,
"GODAVARI AT JAYAKWADI DAM, AURNAGABAD, MAHARASHTRA",2.25,,,,,
"GANGA RIVER AT BARAHIYA, NEPALITOLA, MARANCHI, LAKSHISARAI",2.25,,,,,
GANGA D/S KANPUR (JAJMAU PUMPING STATION),2.25,,,,,
"GANGA AT PATNA D/S (GANGA BRIDGE),BIHAR",2.25,,,,,
DAHA AT SIWAM,2.25,,,,,
"CHOUPAN AT VIJAYPUR 100 METRE D/S OF NFL NALLA, GUNA",2.25,,,,,
CAUVERY AT D/S OF KAREKUARA VILLAGE,2.25,,,,,
BEAS AT U/S GOINDWAL,2.25,,,,,
ASANGI NALLA AT ASANGI VILLAGE,2.25,,,,,
LIDDER NALLAH AT LARIPORA,2.24,,,,,
"SEONATH AT JHINGHRI VILLAGE, A/C OF SAMODA NALLA, CHHATISGARH.",2.233333333,,,,,
"SATLUJ AT U/S BUDHA NALLAH (UPPER), PUNJAB",2.233333333,,,,,
"RIVER TAWI AT JAMMU U/S, (TAWI BRIDGE )",2.233333333,,,,,
"RIVER SUTLEJ AT BRIDGE HARIKE, AMRITSAR",2.233333333,,,,,
RIVER SUBARNAREKHA AT CHANDIL DAM,2.233333333,,,,,
"RIVER SANKH AT BOLBA, JHARKAND",2.233333333,,,,,
"RIVER NARMADA AT SARSWATIGHAT, AFTER MIXING WITH BAWANGANGA RIVER, JABALPUR",2.233333333,,,,,
"RIVER KONAR NEAR SWANG COAL WASHERY, BOKARO",2.233333333,,,,,
RIVER KATHAJODI AT CUTTACK D/S,2.233333333,,,,,
"RIVER JUMAR AT BIT MESRA, RANCHI",2.233333333,,,,,
"RIVER HARHA AT BAGHA, LAURIYA ROAD BRIDGE",2.233333333,,,,,
RIVER CAUVERY AT PALLIPALAYAM D/S,2.233333333,,,,,
KONAR AT KONAR DAM,2.233333333,,,,,
"CAUVERY AT TIRUCHIRAPPALLI U/S, TAMILNADU",2.233333333,,,,,
"BINDUSARA RIVER AT BEED NEAR INTAKE WATER PUMP HOUSE AT DAM, PALIGAON, BEED",2.233333333,,,,,
KOSHI RIVER AT KURSHELA AT KATIHAR,2.23,,,,,
"GANGA AT THE CONFLUENCE OF SONE RIVER DORIGANJ, CHAPRA",2.23,,,,,
SEER KHAD U/S INTAKE POINT OF WSS GHUMARWIN TOWN,2.225,,,,,
RIVER YAMUNA U/S SUN PHARMACEUTICALS,2.225,,,,,
RIVER SUBAREKHA AT GHATISLA ROAD BRIDGE,2.225,,,,,
RIVER SUBANSIRI AT GERUKAMUKH,2.225,,,,,
"RIVER SONE AT DEVLOAD OUT LET OF BANSAGAR DAM, M.P",2.225,,,,,
"RIVER PANCHNOI AT NH-52 CROSSING, ORANG, ASSAM",2.225,,,,,
"RIVER MANJEERA (TRIBUTARY OF GODAVARI) - AT RAIPALLY, SANGAREEDY",2.225,,,,,
"RIVER KRISHNA AT WALWA, D/S OF ISLAMPUR NEAR VITHAL TEMPLE, VILLAGE- WALWA, TALUKA- WALWA, DISTRICT- SANGLI.",2.225,,,,,
"RIVER JIA BHARALI AT BISWANATH CHARALI, SONITPUR",2.225,,,,,
"DZUNA RU IN KOHIMA, ADJOINING THE NEW KOHIMA MUNIC",2.225,,,,,
"CAUVERY AT TIRUCHIRAPPALLI D/S, TAMILNADU",2.225,,,,,
"BRAHMANI AT KAMALANGA, ODISHA",2.225,,,,,
ALKANANDA B/C MANDAKINI AT RUDRA PRAYAG,2.225,,,,,
"RIVER GHAGHRA AT BARHALGANJ, GORAKHPUR",2.22,,,,,
"RIVER MANUSMAR U/S (RIGA), SITAMARHI",2.216666667,,,,,
RIVER JHELUM AT PAMPORE,2.216666667,,,,,
RIVER CAUVERY AT AJJIBORE (BANGALORE),2.216666667,,,,,
RIVER BRAHMANI AT ROURKELA D/S AT JALDA,2.216666667,,,,,
"GOMTI AT VARANASI, U.P",2.216666667,,,,,
"CHATHE RIVER NEAR CHRISTIAN INSTITUTE OF HEALTH SCIENCES AND RESEARCH (CIHSR), DIMAPUR",2.216666667,,,,,
"CAUVERY AT VELORE NEAR KATTIPALAYAM, TAMILNADU",2.216666667,,,,,
VINDYADHARI D/S MALANCHA BURNING GHAT,2.2,,,,,
US OF TARAPITH ON RIVER DWARKA AT SADHAK BAMDEB GHAT,2.2,,,,,
"SURBARNREKHA RIVER AT HATIA ROAD BRIDGE, RANCHI",2.2,,,,,
"SEONATH AT SHIMGA AFTER CONFL. WITH R. KHAROON, CHHATISGARH.",2.2,,,,,
"SANKH AT BOLBA,",2.2,,,,,
"RIVER, TUNIA U/S BRPL, DHALIGAON, DIST. CHIRANG",2.2,,,,,
"RIVER WARDHA AT U/S OF ACC GHUGGUS. , CHANDRAPUR, CHANDRAPUR",2.2,,,,,
"RIVER TLAWNG RIVER,UPSTREAM ZOBAWK,LUNGLEI",2.2,,,,,
"RIVER TIHU (NEAR BRIDGE ALONG NH- 31) TIHU, NALBARI",2.2,,,,,
"RIVER TAPI AT PRAKASHA, (MAHARASHTRA)",2.2,,,,,
"RIVER SUTLEJ AT 1 KM. D/S OF ZENITH, PUNJAB",2.2,,,,,
RIVER SERUA AT CUTTACK FD/S (SERUA) AT SANKHATRASA,2.2,,,,,
RIVER RATNACHIRA NAADI AT KUMARADIHI,2.2,,,,,
RIVER RANGPO AT U/S OF RORATHANG BAZAR (ABOVE SWISS GARNIER),2.2,,,,,
RIVER RANGANADI AT YAZALI (NEEPCO-RHEP),2.2,,,,,
"RIVER PURNA AT DHUPESHWAR, MALKAPUR, AKOLA",2.2,,,,,
"RIVER PARVATI BEFORE MEETING CHAMBAL AT KHATOLI, KOTA, RAJASTHAN",2.2,,,,,
RIVER NARMADA D/S AFTER CONFLUENCE TAWA RAMNAGAR,2.2,,,,,
"RIVER MORNA AT D/S RAILWAY BRIDGE, AKOLA",2.2,,,,,
RIVER MECHI AT NEHALJOTE,2.2,,,,,
"RIVER MANJEERA AT YEDU PAYALA TEMPLE, MEDAK",2.2,,,,,
"RIVER MADHURA AT MADHURAGHAT, CACHAR",2.2,,,,,
RIVER LYNRIANG RIANG AT LESHKA,2.2,,,,,
"RIVER KWAI AT SUTNGA, MAWPUN",2.2,,,,,
"RIVER KARIYARI 100 MTR. D/S AFTER MIXING WITH WASTE WATER OF M/S J.P. CEMENT, REWA",2.2,,,,,
RIVER KALIPAI AT RYMBAI,2.2,,,,,
RIVER KALINADI AT KANNAUJ (BEFORE CONF.),2.2,,,,,
RIVER KALANADI NEAR BAMUNJULI BRIDGE CROSSING AT MANGALDOI BHUTIACHANG,2.2,,,,,
"RIVER HARMU NEAR HARMU BRIDGE, HARMU, RANCHI",2.2,,,,,
"RIVER GODAVARI AT RAMAGUNDAM D/S, NEAR FCI INTAKE WELL, KARIMNAGAR",2.2,,,,,
"RIVER GODAVARI AT RAHER, NAYAGAON, NANDED",2.2,,,,,
"RIVER GODAVARI AT JAIKWADI DAM, VILLAGE- PAITHAN, TALUKA- PAITHAN, DISTRICT-AURANGABAD.",2.2,,,,,
"RIVER GODAVARI - U/S AT KAMALAPUR ,AT M/S.AP RAYONS LTD., INTAKE WELL , KAMALAPUR (V), MANGAPET (M), MULUGU (D)",2.2,,,,,
RIVER GANGA AT TARIGHAT GHAZIPUR (U.P.),2.2,,,,,
RIVER GANGA AT ARA- CHAPRA ROAD BRIDGE (KOIILWAR BARHARA- CHAPRA ROAD),2.2,,,,,
"RIVER D/S OF RUPNARAYAN AT KOLAGHAT, NEAR KOLAGHAT RAIL BRIDGE NO.3,MEDINIPOREÂ€",2.2,,,,,
"RIVER BANGANGA SHUKRA TAL, MUZAFFARNAGAR, NEAR GANGA RIVER",2.2,,,,,
"RIVER ARKAVATHI AT D/S OF KANAKAPURA TOWN,",2.2,,,,,
RIVER ANAS NEAR ROAD BRIDGE JHABUA,2.2,,,,,
"PEDHI RIVER NEAR ROAD BRIDGE AT DADHI-PEDHI VILLAGE, BHATKULI,",2.2,,,,,
MUSI D/S HYDERABAD,2.2,,,,,
"MANJEERA NEAR GANAPATHI SUGARS , DIST MEDAK",2.2,,,,,
"MAHANANDA D S, RAMGHAT",2.2,,,,,
MAHANADI U/S SAMBALPUR,2.2,,,,,
MAHANADI AT HIRAKUD RSVR,2.2,,,,,
"JHELUM RIVER ATSPORE, CONFLUENCE POINT OF WULAR LAKE",2.2,,,,,
JHELUM AT ANANTNAG D/S,2.2,,,,,
"JALANGI, DS OF KRISHNA NAGAR",2.2,,,,,
GANGA D/S MIRZAPUR,2.2,,,,,
GANGA D/S KANNAUJ,2.2,,,,,
GANGA AT RISHIKESH U/S,2.2,,,,,
GAJ KHAD NEAR WATER SUPPLY SCHEME DHARAMSHALA CANTT.,2.2,,,,,
"DHENKANAL D/S, DHENKANAL",2.2,,,,,
"CAUVERY RIVER D/S BARACHUKI FALLS, SATHEGALA, KOLL",2.2,,,,,
BRAHMANI U/S TALCHER,2.2,,,,,
BETWA AT GOVIND SAGAR,2.2,,,,,
KUSHABHADRA AT NIMAPARA,2.1875,,,,,
"SIRSA RIVER , U/S SITOMAJRI NALLAHGARH",2.183333333,,,,,
"RIVER KSHIPRA AT U/S OF MAHIDPUR CITY, UJJAIN",2.183333333,,,,,
RIVER GIRI D/S PROPOSED SITE OF SRI RENUKAJI DAM SITE NEAR BRIDGE AT DADAHU- RENUKAJI,2.183333333,,,,,
"RIVER BURHI GANDAK AT LAL BAGLA GHAT, MOTIHARI DHAKA ROAD, EAST CHAMPARAN",2.183333333,,,,,
RIVER BADASANKHA NADI NEAR LANGALESWAR,2.183333333,,,,,
"PANZARA RIVER, NEAR PANZARAKAN SSK LTD., DHULE.",2.183333333,,,,,
MANDA RIVER (DUDHAI RIVER) AT WAGAISI,2.183333333,,,,,
"VENNA RIVER AT MAHULI, SATARA",2.175,,,,,
"VEL AT SHIKRAPUR, SHIRUR, PUNE",2.175,,,,,
TOCKLAI RIVER NEAR BRIDGE AT JORHAT,2.175,,,,,
"SHIMSHA AT D/S OF BRIDGE, HALAGUR,",2.175,,,,,
"RIVER SWARNKEKHA AT BAHARAGORA ROAD BRIDGE, P.O- BAHARAGORA, E.S",2.175,,,,,
RIVER SWAN U/S UNA TOWN AT GHALLUWAL BRIDGE,2.175,,,,,
"RIVER KRISHNA, PAVITHRA SANGAMAM, AFTER CONFLUENCE WITH RIVER GODAVARI WATER, FERRY (V), IBRAHIMPATNAM (M)",2.175,,,,,
"RIVER KRISHNA - D/S OF MUNNERU RIVER, PRAKASH NAGAR, KHAMMAM",2.175,,,,,
"RIVER KHAROON AT VILLAGE BENDRI, NEAR WATER SUPPLY INTAKEWELL",2.175,,,,,
"RIVER KATRI RIVER, NEAR BHATINDA FALL, AT- TETENGABAD, MOONIDIH, DHANBAD",2.175,,,,,
"RIVER GODAVARI AT RAJAMUNDRY U/S OF NALLA CHANNEL,RAJAMUNDRY",2.175,,,,,
RIVER GANGA AT U/S BARAHPUR BINDTOLI,2.175,,,,,
"RIVER DEVAK AT PURMANDAL, NEAR TEMPLE",2.175,,,,,
RIVER DAMRING AT BOLDAMGRE,2.175,,,,,
RIVER BHIMA AT FEROZABAD VILLAGE (D/S),2.175,,,,,
RIVER BHIMA AT D/S OF BDG. NEAR YADGIR,2.175,,,,,
"PAWNA RIVER AT PIMPRIGAON, PUNE.",2.175,,,,,
DEVAK RIVER UDHAMPUR(NEAR SHIV MANDIR D/S)L.H.S.,2.175,,,,,
"BHAVANI AT SIRUMUGAI,TAMILNADU",2.175,,,,,
BARAKAR AT MAITHAN DAM,2.175,,,,,
"RIVER PANAM AT LUNAWADA,",2.166666667,,,,,
"RIVER MAHI AT BADNAWAR, M.P.",2.166666667,,,,,
RIVER KICHHA AT KICHHA U.S. NAGAR,2.166666667,,,,,
"RIVER GANGA U/S HARIDWAR AT ABINDUGHAT, DUDHIYABAD, HARIDWAR",2.166666667,,,,,
"RIVER GANGA D/S, ANOOPSHAHAR",2.166666667,,,,,
RIVER DHANSIRI AT JAHAIGHAT,2.166666667,,,,,
RIVER DAMODAR AT PHUSRO ROAD BRIDGE,2.166666667,,,,,
"GODAVARI AT NASIK D/S, MAHARASHTRA",2.166666667,,,,,
GIRNA AT MALEGAON (MANMAD),2.166666667,,,,,
"YAMUNA AT PALLA, DELHI",2.15,,,,,
WARDHA AT CONFL. POINT OF PENGANGA and WARDHA AT JUAD.,2.15,,,,,
WAINGANGA AFTER CONLUENCE WITH KANHAN,2.15,,,,,
"URMODI AT NAGTHANE, SATARA.",2.15,,,,,
TUNGABHADRA AT U/S OF HPF,2.15,,,,,
"TUNGABHADRA AT HARIHAR WATER SUPPLY INTAKE,",2.15,,,,,
SUTLEJ AT U/S TATAPANI,2.15,,,,,
SUTLEJ AT U/S HEAD WORKS ROPAR,2.15,,,,,
SURAN RIVER BELOW SHER-E-KASHMIR BRIDGE AT POONCH,2.15,,,,,
"SATLUJ 100M U/S OF HEADWORKS, NANGAL",2.15,,,,,
"RIVER WAINGANGA AT U/S OF GAURAV PAPER MILLS, NEAR JACKWELL, VILLAGE. BRAMHPURI, TALUKA. CHANDRAPUR, DISTRICT. CHANDRAPUR.",2.15,,,,,
"RIVER TUNGABHADRA, UPSTREAM OF KURNOOL TOWN BEFORE JOINING CITY DOMESTIC SEWAGE AND AFTER M/S RAYALASEEMA ALKALIES INDUSTRIES NEAR SIVALAYAM TEMPLE, GONDIPARLA (V), KURNOOL (M)",2.15,,,,,
RIVER TUNGABHADRA AT KURUVATHI,2.15,,,,,
RIVER TUNGABHADRA AT D/S OF HARIHAR POLYFIBERS,2.15,,,,,
RIVER TUNGABHADRA AT D/S OF GANGAWATHI,2.15,,,,,
"RIVER TLAWNG D/S, SUARPUI, BAIRABI HEPP DAM SITE, BAIRABI,KOLASIB DIST.",2.15,,,,,
"RIVER TAPI AT UBAD VILLAGE,SHAHADA, NANDURBAR",2.15,,,,,
"RIVER SUTLEJ AT 100M D/S BUDHA NALA CONFL., LUDHIANA",2.15,,,,,
RIVER STLUJ D/S LANDFILL SITE RAMPUR,2.15,,,,,
"RIVER SONE AT VILLAGE- KHAIRPUR, NEAR ROAD BRIDGE M.P- U.P. BOUNDARY, DISTT SIDHI",2.15,,,,,
"RIVER SIKRAHNA AT LAURIA, HARINAGAR ROAD BRIDGE",2.15,,,,,
RIVER SATLUJ AT BUNGA SAHIB,2.15,,,,,
RIVER RAVI AT MADHOPUR,2.15,,,,,
"RIVER RAVI AT LAKHANPUR,",2.15,,,,,
"RIVER RANGIT AT JORETHANG (MAJIGOAN), NAMCHI",2.15,,,,,
RIVER RAMIALA NEAR KAMAKHYANAGAR,2.15,,,,,
"RIVER PILKHAR AT BILASPUR, RAMPUR,US NAGAR",2.15,,,,,
RIVER NARMADA AT NARSINGHPUR M.P.,2.15,,,,,
RIVER MARKANDEYA AT RAKKASAKOPPA RESRVOIR,2.15,,,,,
RIVER MANJEERA AT D/S INTAKE POINT TO BIDAR CITY,2.15,,,,,
"RIVER MAHANADI AFTER CONFL. WITH RIVER MAND, CHHATISGARH.",2.15,,,,,
"RIVER KRISHNA AT MATTEPALLY, 500 MTS BEFORE BATHING GAHT",2.15,,,,,
"RIVER KAPILI AT DHARMTUL BRIDGE, NH-31, MORIGAON, ASSAM",2.15,,,,,
"RIVER KANHAN NEAR MANDIR MAIN GHAT KHAPPADIWAR, CHHINDWARA",2.15,,,,,
"RIVER KAGINA AT SHAHABAD BRIDGE,",2.15,,,,,
"RIVER KABINI AT MUTHANKARA, KERALA",2.15,,,,,
RIVER HASDEO UP STREAM OF HASDEO BANGO HYDEL POWER STATION STATION MACHADOLI KORBA,2.15,,,,,
RIVER HASDEO DRINKING WATER INTAKE WELL OF MUNICIPAL CO. KORBA AFTER TREATMENT PLANT AT VILLAGE KOHADIA KORBA,2.15,,,,,
"RIVER GODAVARI AT DHALEGAON, VILLAGE- DHALEGAON, TALUKA- PATHARI, DISTRICT- PARBHANI.",2.15,,,,,
"RIVER GANGA AT VARANASI D/S (MALVIYA BRIDGE), U.P",2.15,,,,,
"RIVER GANGA AT ALLAHABAD D/S (SANGAM), U.P.",2.15,,,,,
RIVER DHANSIRI AT NOTUN BOSTI NEAR NAGA CEMETERY (OLD),2.15,,,,,
"RIVER DHANSIRI AT BRIDGE NEAR PURANA BAZAAR, NAGALAND",2.15,,,,,
RIVER DAMODAR D/S BHAIRABI AT RAJRAPPA,2.15,,,,,
"RIVER CHHAPI DAM UPSTREAM , JHALAWAR, RAJASTHAN",2.15,,,,,
RIVER CAUVERY U/S OF KR NAGAR,2.15,,,,,
"RIVER CAUVERY AT KRS DAM, BALAMURIKSHETRA",2.15,,,,,
"RIVER BRAHMAPUTRA AT JOGIGHOPA NEAR BRIDGE, ASSAM",2.15,,,,,
RIVER BRAHMANI AT DHARMASHALA U/S,2.15,,,,,
"RIVER BHAVANI AT BHAVANI SAGAR, TAMILNADU",2.15,,,,,
RIVER BHADRA AT U/S OF KIOCL,2.15,,,,,
"RIVER BEAS AT MIRTHAL BRIDGE, GURDASPUR",2.15,,,,,
RIVER BATTA U/S PAONTA AT KISHANPURA,2.15,,,,,
"RIVER BANAS AT DHANARI DAM, NEAR SWAROOPGANJ, SIROHI, RAJASTHAN",2.15,,,,,
RIVER ADYAR AT EKKATTUTHANGAL,2.15,,,,,
NARMADA AT PANETHA,2.15,,,,,
NARMADA AT KHALGHAT,2.15,,,,,
"MUSI AT NAGOLE, RANGAREDDY",2.15,,,,,
MANER U/S WARANGAL,2.15,,,,,
"MAHANADI AT HIRAKUD RESERVOIR, ODISHA",2.15,,,,,
KSHIPRA AT SIDDHAWAT (D/S) OF UJJAIN.,2.15,,,,,
KRISHNA AT WADAPALLY A/C WITH MUSI (SHIFTED FROM 1220),2.15,,,,,
"KRISHNA AT KURUNDWAD, KOLHAPUR",2.15,,,,,
KRISHNA AT KSHETRA MAHULI.,2.15,,,,,
KRISHNA - ANKALI BRIDGE ALONG CHIKKODI KAGWAD ROAD,2.15,,,,,
KHAROON RIVER A/C KHAPRI DRAIN,2.15,,,,,
JHELUM RIVER ATBARAMULLA D/S,2.15,,,,,
"GOPAD AT NIGARI, SARAI DIST, SINGROULI",2.15,,,,,
"GODAVARI U/S RAMAGUNDAM, KARIMNAGAR",2.15,,,,,
"GANGA AT KEWALA GHAT,FATUHA, PATNA",2.15,,,,,
DAYA AT BHUBANESWAR FD/s ( 2 KM AFTER CONFLUENCE O,2.15,,,,,
"CAUVERY AT TRICHY,GRAND ANAICUT",2.15,,,,,
BORAK AT PANCHAGRAM,2.15,,,,,
"BHIMA AT PUNE, D/S OF BUNDGARDEN",2.15,,,,,
"BARALIA RIVER (NEAR CHATPUJA GHAT) RANGIA, KAMRUP",2.15,,,,,
"RIVER KHAN AT SAKKAR KHADI, INDORE",2.1375,,,,,
"RIVER KALI EAST AT KHARKHODA-PARIKSHIT GARH ROAD, VILL. KOL, MEERUT",2.1375,,,,,
SWAN RIVER AT D/S NANGAL DISTT. UNA,2.133333333,,,,,
SIRSA RIVER AT D/S NALAGARH DISTT. SOLAN,2.133333333,,,,,
RIVER MANGALA AT PURI U/S MALATIPATPUR,2.133333333,,,,,
RIVER MAHANADI AT PARADEEP D/S,2.133333333,,,,,
